kor,hanja
혜명,慧明
무외,無畏
신증동국여지승람,新增東國輿地勝覽
보관,寶冠
신덕왕후,神德王后
경순궁주,慶順宮主
대의,大意
고려국왕지인,高麗國王之印
어보,御寶
기로소,耆老所
계,契
계첩,契帖
문관,文官
경현당,景賢堂
사연,賜宴
어제,御製
축시,祝詩
흥정당,興政堂
어첩봉안도,御帖奉安圖
숭정전진하전도,崇政殿進賀箋圖
경현당석연도,景賢堂錫宴圖
은배,銀盃
봉배귀사도,奉盃歸社圖
기사사연도,耆社私宴圖
김진여,金振汝
장태흥,張泰興
태묘,太廟
고려사,高麗史
왕흥사지,王興寺址
삼국사기,三國史記
보주형,寶珠形
은제탁잔,銀製托盞
조응대선사,祖膺大禪師
경장,經藏
강우,降雨
대구감영,大邱監營
선화당,宣化堂
이문원,摛文院
고승,高僧
화엄학,華嚴學
학승,學僧
희랑대,希朗臺
왕건,王建
해행당,解行堂
진상전,眞常殿
조사전,祖師殿
보장전,寶藏殿
봉안,奉安
가야산기,伽倻山記
건칠,乾漆
흉혈국인,胸穴國人
흉혈,胸穴
기로소,耆老所
계첩,契帖
문관,文官
경현당,景賢堂
사연,賜宴
어제,御製
축시,祝詩
만퇴당장,晩退堂藏
전가보장,傳家寶藏
내함,內函
호갑,護匣
외궤,外櫃
봉과,封裹
고종,高宗
친필,親筆
화격,畵格
개국공신,開國功臣
보사공신,保社功臣
회맹제,會盟祭
경신환국,庚申換局
훈호,勳號
갑술환국,甲戌換局
복훈,復勳
적장자손,嫡長子孫
회맹록,會盟錄
복본,複本
반사본,頒賜本
분무공신,奮武功臣
시명지보,施命之寶
녹훈도감,復勳都監
복훈,復勳
이익신,李翊臣
생초,生綃
녹훈도감의궤,錄勳都監儀軌
옥축,玉軸
생초,生綃
다회,多繪
비녀,簪
한후방,韓後邦
응원,應元
인균,印均
법신,法身
비로자나불,毘盧舍那佛
보신,報身
화신,化身
석가불,釋迦佛
사경,寫經
팔도도총섭,八道都摠攝
벽암,碧巖
의창군,義昌君
동양위,東陽尉
대작,大作
약기인,藥器印
백운,白雲
삼사,三師
불사,佛事
바얀테무르,伯顔帖木兒
금타이지,金朶兒只
도르지,都兒赤
향낭,香囊
대비로전,大毗盧殿
지권인,智拳印
수인,手印
편단우견,偏袒右肩
불신,佛身
고승,高僧
조상경,造像經
대비로전,大毗盧殿
수인,手印
심주석,心柱石
사리공,舍利孔
금동사리외호,金銅舍利外壺
좌평,佐平
사택적덕,沙宅積德
초당풍,初唐風
기형,器形
목근,達率目近
녹로,轆轤
유기,鍮器
목정혈,目釘穴
범음,梵音
법구사물,法具四物
불음,佛音
주종기,鑄鍾記
도인,道人
허백,虛白
종익,宗益
한중서,韓冲敍
사장,私匠
관장,官匠
천개,天蓋
당좌,撞座
은사,隱士
김성규,金性圭
이안기,移安記
서루,西樓
죽서루,竹西樓
죽서루단청기,竹西樓丹靑記
죽서루기,竹西樓記
죽서루,竹西樓
죽장사,竹欌寺
숙종,肅宗
정조,正祖
어제시,御製詩
관동별곡,關東別曲
죽서루,竹西樓
관동제일루,關東第一樓
관동명승첩,關東名勝帖
국보,國寶
영남사,嶺南寺
소루,小樓
죽루,竹樓
영남루,嶺南樓
영남사루,嶺南寺樓
소루,召樓
망호당,望湖堂
능파각,凌波閣
침류각,枕流閣
이인재,李寅在
밀주관,密州館
강좌웅부,江左雄府
교남명루,嶠南名樓
국보,國寶
영산회상,靈山會上
후불도,後佛圖
팔상회,八相繪
월인석보,月印釋譜
도솔래의상,兜率來儀相
비람강생상,毘藍降生相
사문유관상,四門遊觀相
유성출가상,踰城出家相
설산수도상,雪山修道相
수하항마상,樹下降魔相
녹원전법상,鹿苑轉法相
쌍림열반상,雙林涅槃相
월인석보,月印釋譜
의겸,義謙
의겸,義謙
여성,汝性
행종,幸宗
민희,敏熙
말인,抹仁
만연,萬演
지원,智元
범안,椘眼
도현,道玄
호선,毫仙
세관,世冠
신각,神覺
밀기,密機
월인,月印
조상경,造像經
풍마동,風磨銅
금정,金頂
풍마동,風磨銅
마곡사,麻谷寺
구산선문,九山禪門
동리산문,桐裏山門
개산,開山
적인선사,寂忍禪師
시호,諡號
적인,寂忍
탑호,塔號
조륜청정,照輪淸淨
당,唐
선법,禪法
선종,禪宗
파,派
문파,門派
당,唐
선법,禪法
동리산문,桐裏山門
팔각원당형,八角圓堂形
양각,陽刻
모각,模刻
문비,門扉
사천왕상,四天王像
탑전,塔殿
장엄신,莊嚴身
화기,畫記
법경,法冏
혜윤,慧允
인학,仁學
희상,熙尙
미륵,彌勒
편년,編年
부조,浮彫
사자상,獅子像
팔부중상,八部衆像
탑신,塔身
옥개석,屋蓋石
문비,門扉
찰주,刹柱
명문,銘文
편년,編年
광군사,光軍司
안상,眼象
십이지신상,十二支神像
팔부중상,八部衆像
탑신,塔身
옥개석,屋蓋石
복발,覆鉢
장엄,莊嚴
도성,都城
옹성,甕城
제야,除夜
명문,銘文
원각경,圓覺經
대원각사지비,大圓覺寺之碑
당,幢
당간,幢竿
석수,石手
찬유,璨幽
원종,元宗
혜진,惠眞
김정언,金廷彦
국공,國工
찬유,璨幽
원종,元宗
혜진,惠眞
김정언,金廷彦
국공,國工
불상,佛像
현오국사,玄悟國師
불일사,佛日寺
부석사,浮石寺
국사,國師
현오,玄悟
진언,眞言
괘,八卦
연뢰,蓮蕾
연뢰,蓮蕾
기단,基檀
탑신,塔身
기단,基檀
탑신,塔身
소탑,小塔
부석사,浮石寺
화사석,火舍石
사천왕상,四天王像
억정사지,億政寺址
비,碑
비,碑
구족달,仇足達
백곡사,白谷寺
안상,眼象
오합사,烏合寺
기단,基壇
탑신,塔身
오합사,烏合寺
기단,基壇
탑신,塔身
비,碑
대좌,臺座
안상,眼象
불법,佛法
법주,法主
구양순법,歐陽詢法
송대,松臺
기단,基壇
탑신,塔身
송대,松臺
기단,基壇
사천왕상,四天王像
탑신,塔身
봉천원,奉天院
기단,基壇
탑신부,塔身部
좌불상,坐佛像
당,幢
당간,幢竿
기단,基壇
탑신,塔身
기단부,基壇部
안상,眼象
당,幢
당간,幢竿
심원사,深源寺
기단,基壇
문,門
사천왕상,四天王像
안상,眼象
비좌,碑座
홍척,洪陟
화사석,火舍石
홍척,洪陟
기단,基壇
탑신,塔身
기단,基壇
문,門
사천왕상,四天王像
응료탑비,凝蓼塔碑
화사석,火舍石
삼도,三道
광배,光背
삼도,三道
광배,光背
대좌,臺座
척,尺
광배,光背
불신,佛身
대좌,臺座
광배,光背
관,冠
대좌,臺座
분묘,墳墓
석인상,石人像
기단,基壇
탑신,塔身
당,幢
기단,基壇
탑신,塔身
제실,帝室
기단,基壇
탑신,塔身
남화사,南華寺
기단,基壇
탑신,塔身
토탑,土塔
안상,眼象
감실,龕室
인왕상,仁王像
영가지,永嘉誌
법림사,法林寺
법흥사탑,法興寺塔
기단,基壇
감실,龕室
인왕상,仁王像
탑신,塔身
대좌,臺座
광배,光背
불국사사적기,佛國寺事蹟記
광학부도,光學浮屠
탑신,塔身
기단,基壇
북,鼓
탑신,塔身
여래상,如來像
보살상,菩薩像
우에노,上野
삼존불상,三尊佛像
법열,法悅
삼존불,三尊佛
불성,佛性
보병,寶甁
보문,普門
기단,基壇
탑신부,塔身部
인왕상,仁王像
애공사,哀公寺
기단,基壇
탑신,塔身
탑신,塔身
정문,旌門
당,幢
대사,大寺
대좌,臺座
광배,光背
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
마애불,磨崖佛
광배,光背
충원사,忠圓寺
탑신,塔身
지종,智宗
기단,基壇
탑신,塔身
당,幢
당간,幢竿
백호,白毫
보관,寶冠
삼도,三道
당,幢
당간,幢竿
기단부,基壇部
당,幢
당간,幢竿
관,冠
대좌,臺座
범일국사,梵日國師
보개,寶蓋
천상,天上
훈,塤
비파,琵琶
생황,笙簧
문성왕,文聖王
범일국사,梵日國師
당,幢
당간,幢竿
범일국사,梵日國師
범,梵
굴산사,掘山寺
기단,基壇
탑신,塔身
안상,眼象
감실,龕室
광배,光背
대좌,臺座
담무참,曇無嘴
법보,法寶
교장,敎藏
교장,敎藏
교장,敎藏
교장,敎藏
교장,敎藏
기단,基壇
탑신,塔身
안상,眼象
기단,基壇
탑신,塔身
불성,佛性
원립불,圓笠佛
방립불,方笠佛
남상,男像
원신궁주,元信宮主
도승,道僧
장지산,長芝山
한산후,漢山候
탑신,塔身
찰간,擦竿
광배,光背
전,傳
다보여래,多寶如來
석가여래,釋迦如來
팔자형,八字形
당,幢
당간,幢竿
기단,基壇
안상,眼象
폐사지,廢寺地
기단부,基壇部
탑신,塔身
여래좌상,如來坐像
당,幢
당간,幢竿
탑신,塔身
기단부,基壇部
보원사,普願寺
탄문,坦文
왕사,王師
국사,國師
법인,法印
보승,寶乘
안상,眼象
사천왕,四天王
법인국사,法印國師
국사,國師
보광사,普光寺
원명국사,圓明國師
대좌,臺座
성거사,聖居寺
성거산,聖居山
기단,基壇
탑신,塔身
사리공,舍利孔
백주사,栢州寺
기단,基壇
탑신,塔身
화사석,火舍石
중흥사,中興寺
기단,基壇
탑신,塔身
인왕상,仁王像
사천왕상,四天王像
보살상,菩薩像
여래상,如來像
기단,基壇
탑신,塔身
탑신,塔身
탑신,塔身
기단,基壇
안상,眼象
도식적,圖式的
사벌국,沙伐國
기단,基壇
탑신,塔身
탑신,塔身
광배,光背
삼도,三道
광배,光背
사방불,四方佛
삼존불,三尊佛
마애불,磨崖佛
보병,寶甁
당,幢
당간,幢竿
보문,普門
기단부,基壇部
탑신부,塔身部
팔부신중,八部神衆
계화부인,桂花夫人
아미타불상,阿彌陀佛像
홍양호,洪良浩
김정희,金正喜
비좌,碑座
십이지신상,十二支神像
기단,基壇
탑신,塔身
안상,眼象
당,幢
당간,幢竿
비,碑
승통,僧統
기단,基壇
탑신,塔身
광배,光背
대좌,臺座
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
안상,眼象
지신상,十二支神像
부신중,八部神衆
천왕상,四天王像
탑신,塔身
기단부,基壇部
천왕,四天王
광배,光背
구산선문,九山禪門
희양산문,曦陽山門
도헌국사,道憲國師
지증대사,智證大師
도신,道信
법랑,法朗
신행,愼行
준범,遵範
혜은,慧隱
