kor,hanja
고산성,古山城
도로,道路
영아,營衙
고산자,古山子
분첩절첩식,分疊折帖式
온성,穩城
종성,鐘城
경원,慶源
영아,營衙
읍치,邑治
성지,城池
진보,鎭堡
창고,倉庫
목소,牧所
봉수,烽燧
방리,坊里
고현,古縣
고진보,古鎭堡
고산성,古山城
도로,道路
경도,京都
각,各
도별,道別
인구,人口
물수,物數
고산자,古山子
분첩절첩식,分疊折帖式
온성,穩城
종성,鐘城
경원,慶源
영아,營衙
읍치,邑治
성지,城池
진보,鎭堡
창고,倉庫
목소,牧所
봉수,烽燧
방리,坊里
고현,古縣
고진보,古鎭堡
고산성,古山城
도로,道路
서운관지,書雲觀志
석대,石臺
도성도,都城圖
세총통,細銃筒
차승자총통,次勝字銃筒
소총통,小銃筒
유통식,有筒式
완,碗
격목통,激木筒
약통,藥筒
대완구,大碗口
대완구,大碗口
유통식,有筒式
완,碗
격목통,激木筒
약통,藥筒
중완구,中碗口
중완구,中碗口
리,里
유통식,有筒式
완,碗
격목통,激木筒
약통,藥筒
중완구,中碗口
중완구,中碗口
비격진천뢰,飛擊震天雷
인마살상용,人馬殺傷用
목곡,木谷
죽통,竹筒
완구,碗口
불랑기자포,佛狼機子砲
후장식,後裝式
모포,母砲
자포,子砲
포구,砲口
신헌,申櫶
자포,子砲
모포,母砲
자포실,子砲室
화승,火繩
약실,藥室
군기시,軍器寺
지자총통,池字銃筒
천,天
지,地
현,玄
황,黃
지자총통,池字銃筒
천,天
지,地
현,玄
황,黃
중간자,字
간인,刊印
독서당계회도,讀書堂契會圖
미원계회도,薇垣契會圖
하관계회도,夏官契會圖
호조낭관계회도,戶曹郞官契會圖
호성,扈聖
선무,宣武
상교정본자비도량참법,詳校正本慈悲道場懺法
수한,守閑
신규,信珪
정서,正西
연허,衍虛
변상도,變相圖
수한,守閑
신규,信珪
참회법회,懺悔法會
발원,發願
상교정본자비도량참법,詳校正本慈悲道場懺法
판본,版本
절첩장,折帖裝
선장본,線裝本
수한,守閑
화압,花押
수한,守閑
가필,加筆
보필,補筆
묵서,墨書
자비도량참법권제,慈悲道場懴法卷第
호구,戶口
김저,金貯
지선,志禪
조환,祖桓
변상도,變相圖
건,乾
곤,坤
패도,佩刀
정,丁
곤여전도,坤輿全圖
중간,重刊
광동,廣東
여지구,輿地球
삼혈총,三穴銃
유통식화포,有筒式火砲
천,天
지,地
현,玄
황,黃
통,筒
차대전,次大箭
철환,鐵丸
유통식화포,有筒式火砲
천,天
지,地
현,玄
황,黃
현장,玄奘
선,禪
칙,則
화장사,華藏寺
선종,禪宗
현각,玄覺
선종,禪宗
보제사,普濟寺
기해년,己亥年
문림랑사재소경,文林郞司宰少卿
통사랑,通仕郞
정원,淨源
징관,澄觀
정원,淨源
징관,澄觀
정원,淨源
종밀,宗密
후진,後秦
구마라습,鳩摩羅什
혜인,惠因
후진,後秦
혜인,惠因
권수,卷首
대자,大字
범망경보살계서,梵網經菩薩戒序
원대,元代
하,夏
은,殷
주,周
진,秦
한,漢
원,元
지리기,地理記
상고사,上古史
교지,敎旨
조흡,曺恰
교지,敎旨
교지,敎旨
조흡,曺恰
매,梅
조,鳥
죽,竹
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
당,幢
당간,幢竿
십,十
당,幢
당간,幢竿
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
편단우견,偏袒右肩
착의법,着衣法
이불병존상,二佛竝存像
광배,光背
대좌,臺座
우견편단,右肩偏袒
불의,佛衣
대의,大衣
승각기,僧脚岐
아래치마,下裙
우견편단,右肩偏袒
불의,佛衣
삼곡,三曲
팔,八
법신,法身
보신,報身
화신,化身
대불전,佛典
화관,花冠
운,韻
후진,後秦
구마라습,鳩摩羅什
주,註
재색,齋色
후진,後秦
구마라습,鳩摩羅什
천로,川老
지담,志淡
각지,角之
선,禪
시가,詩歌
심요,心要
진실주집,眞實珠集
송조,宋朝
선사,禪師
선,禪
선본,善本
신암,信菴
정토,淨土
보관,寶冠
광배,光背
관,冠
정병,淨甁
대좌,臺座
기단,基壇
향,香
장,杖
궤,几
조두형,鳥頭形
법등,法燈
군호,君號
선,禪
비현합,丕顯閤
신미,信眉
안혜,安惠
박경,朴耕
칠불,七佛
휘,諱
건,建
요,堯
송,誦
종밀,宗密
반자밀제,般刺密帝
계환,戒環
법등,法燈
기단,基壇
탑신,塔身
마애불,磨崖佛
존제사,尊帝寺
대좌,臺座
기단,基壇
탑신,塔身
부중상,八部衆像
보개,寶蓋
대좌,臺座
팔,八
정,井
범,梵
토말,土末
반자밀제,般刺密帝
계환,戒環
반자밀제,般刺密帝
계환,戒環
삼세불,三世佛
복,福
탁영금,濯纓琴
운족,雲足
봉미,鳳尾
약사,藥師
아미타불,阿彌陀佛
사경,寫經
목판본,木版本
충목왕,忠穆王
첩,帖
합천,陜川
봉서사,鳳栖寺
선종유심결,禪宗唯心訣
선장본,線裝本
사경,高麗寫經
첩장본,帖裝本
호접장본,胡蝶裝本
포배장본,包背裝本
인출,印出
대불정여래밀인수증요의제보살만행수능엄경,大佛頂如來密因修證了義諸菩薩萬行首楞嚴經
송,宋
목판,木板
대방광불화엄경소,大方廣佛華嚴經疏
법화삼매참조선강의,法華三昧懺助宣講儀
은자대장경,銀字大藏經
판각,板刻
장정,裝訂
계환,戒環
지선,志禪
수연군,壽延君
왕규,王珪
신문,信文
전,前
대호군,大護軍
신문,信文
선사,大化主禪師
명회,明會
대선,摠持宗大選
자옥,慈玉
안심사,安心寺
변상도,變相圖
정씨,鄭氏
왕씨,王氏
초생정토,超生淨土
화공,畵工
후진,後秦
구마라습,鳩摩羅什
계환,戒環
최이,崔怡
전,前
보양판관,普陽判官
종밀,宗密
정원,淨源
변상도,變相圖
의경왕,懿敬王
영제암,永濟庵
대방광불화엄경,大方廣佛華嚴經
보현행원품,普賢行願品
대불정수릉엄신주,大佛頂首楞嚴神呪
불설아미타경,佛說阿彌陀經
관세음보살보문품,觀世音菩薩普門品
개경,個經
인수대비,仁粹大妃
발문,跋文
인출경위,印出經緯
법등,法燈
변상도,變相圖
패,牌
신중상,神衆像
보상화문,寶相華紋
화문,花紋
화경,花莖
권수,卷首
역자,譯者
사경체,寫經體
조맹부체,趙孟頫體
묵서,墨書
주서,朱書
광덕사,廣德寺
간경도감,刊經都監
서,序
도인,道人
신문,信文
변상도,變相圖
신중상,神衆相
반자밀제,般刺密帝
계환,戒環
각지,角之
산인,山人
지담,志淡
혜일,慧一
구마라습,鳩摩羅什
최이,崔怡
계환,戒環
실차난타,實叉難陀
변상도,變相圖
대좌,臺座
광배,光背
대좌,臺座
관,冠
관,冠
반가상,半跏像
대좌,臺座
천의,天衣
칠장사,七長寺
광배,光背
광배,光背
삼존불,三尊佛
엄비,嚴妃
관,冠
삼도,三道
대좌,臺座
원각상,圓刻像
조성기,造成記
묵서,墨書
숙종,肅宗
상,像
대좌,臺座
조성기,造成記
삼도,三道
관음보살원문,觀音菩薩願文
삼도,三道
원문,願文
길상좌,吉祥坐
문수산,文殊山
대좌,臺座
광배,光背
광배,光背
대좌,臺座
광배,光背
대좌,臺座
미타암,彌陀庵
광배,光背
배,舟
안상,眼象
대석,臺石
비구,比丘
수태,秀台
초상,肖像
사자빈신사지,獅子頻迅寺址
배,舟
광배,光背
석굴,石窟
시조,始祖
증조,曾祖
장전,張戩
소지,所志
치제문,致祭文
전지,傳旨
간경도감,刊經都監
계환,戒環
일여,一如
주,註
계환,戒環
주해,註解
일여,一如
집주,集註
화암사,花岩寺
공암,空岩
의명,義明
법어,法語
덕이,德異
혜근,慧勤
신미,信眉
만항,萬恒
혼구,混丘
징관,澄觀
정원,淨源
주,註
예묘행,倪妙行
명,銘
가,歌
심요,心要
법어,法語
시,詩
문,文
지소,智昭
선가,禪家
종밀,宗密
정원본,貞元本
진본,晉本
주본,周本
충정,忠正
소지,所志
명문,明文
서전,書傳
수택본,手澤本
별시첩,別時帖
운학,雲鶴
양인각,陽印刻
제기,祭器
구룡,龜龍
반양각,半陽刻
구형,球形
주구,注口
반양각,半陽刻
석경,石經
화엄석경,華嚴石經
설산,雪山
단주,短珠
도일비구,道日比丘
혜근,惠勤
신해생갑회지도,辛亥生甲會之圖
보관,寶冠
반자밀제,般刺密帝
계환,戒環
간경도감,刊經都監
안혜,安惠
시,詩
분문집주두공보시,分門集注杜工甫詩
시,詩
분문집주두공보시,分門集注杜工甫詩
당,唐
두공부시,杜工部詩
성종,成宗
홍문관전한,弘文館典翰
제주,諸註
참정,參訂
역편,譯編
두공부시,杜工部詩
제명,題名
두보,杜甫
공부원외랑,工部員外郞
분류,分類
송조,宋朝
분문집주두공보시,分門集注杜工甫詩
참고,參考
관기,冠記
원,元
찬주분류두시,纂註分類杜詩
두보,杜甫
주석,註釋
두시언해,杜詩諺解
을해자,乙亥字
한글자,字
저자,著者
판식,板式
사주단변,四周單邊
반엽,半葉
항,行
자,字
자,小字
두시,杜詩
판심제,板心題
장차,張次
방점,傍點
장,張
표지,表紙
개장,改裝
시,詩
분문집주두공보시,分門集注杜工甫詩
굉지대선사,宏之大禪師
수여,水如
기복도감,祈福都監
시식권공,施食勸供
일용상행,日用常行
백자제기,白磁祭器
산뢰,山罍
매월문,梅月文
창,窓
태지석,胎誌石
태,胎
화조문,花鳥文
관,官
관,官
구나발마,求那跋摩
장,丈
폭,幅
장,張
장,丈
경,經
성불,成佛
승가제바,僧伽提婆
축불념,竺彿念
장,丈
폭,幅
장,張
장,丈
경,竟
경,經
성불,成佛
현장,玄奘
장,丈
폭,幅
장,張
장,丈
김천리,金天理
근사록,近思錄
홍무,洪武
무,武
근사록,近思錄
활자,活字
초주갑인자,初鑄甲寅字
완질본,完帙本
장서인,藏書印
등왕각서,騰王閣序
추풍사,秋風辭
춘야연도리원서,春夜宴桃李園序
추일연,秋日宴
석봉,石峯
가평군수,加平郡守
흡곡현령,翕谷縣令
제한경홍서첩후서,題韓景洪書帖後序
임인칠월망일서,壬寅七月望日書
석봉,石峯
세설신어,世說新語
갑진사월팔일서,甲辰四月八日書
축경조추흥팔수위왕명보제,祝京兆秋興八首爲王明輔題
만력삼십이년세재갑진사월구일서우학림현재,萬曆三十二年歲在甲辰四月九日書于鶴林縣齋
석봉,石峯
해서,楷書
행서,行書
초서,草書
설상청정경,說常淸淨經
질,帙
한경홍진적,韓景洪眞蹟
포졸당진장,抱拙堂珍藏
수장,收藏
조맹부,趙孟頫
포졸당,抱拙堂
원빈씨,元賓氏
석농,石農
소장인,所藏印
석봉,石峯
석봉한호선행해서첩,石峯韓濩先生楷書帖
제첨,題僉
서화상,書畵商
원충희,元忠喜
호성공신,扈聖功臣
선무공신,宣武功臣
교서,敎書
승문원,承文院
사자관,寫字官
만향재,晩香齋
불타다라,佛陀多羅
종밀,宗密
주석,註釋
배휴,裴休
서문,序文
계환,戒環
남재,南在
해린,海隣
공,空
부대사,傅大士
혜능,慧能
종경,宗鏡
기화,己和
설의,設誼
결의,決疑
의서,醫書
당홍역,唐紅疫
당독역,唐毒疫
광해군,光海君
성홍열,猩紅熱
내의원,內醫院
약방,藥方
내사기,內賜記
온역,瘟疫
광해군,光海君
약재명,藥材名
금기,禁忌
내사기,內賜記
허준,許浚
온역,瘟疫
맥리,脈理
형증,形證
약명,藥名
치료법,治法
법,辟法
간기,刊記
감교관,監校官
윤화미,尹和微
선사지기,宣賜之記
내사인,內賜印
수사자,受賜者
질병사,疾病史
어의,御醫
선사인,宣賜印
어의,御醫
선사인,宣賜印
동인지문서,序
응제시,應製詩
양촌시,陽村集
서뇌,書腦
단구장,丹丘藏
명태조,明太祖
양촌,陽村
권근,權近
친제,親製
하사,下賜
태조고황제어제시삼수,太祖高皇帝御製詩三首
명태조,明太祖
명,命
응제시,應制詩
수,首
권람,權擥
주,註
세조,世祖
년,年
목판본,木版本
간행,刊行
권수,卷首
서,序
태조고황제어제시삼수,太祖高皇帝御製詩三首
제하,題下
제압록강,題鴨綠江
고려고경,高麗古京
율시,律詩
원암,圓庵禪師
응제시,應製詩
권람,權擥
지,誌
증주,增註
전세,傳世
선본,善本
서뇌,書腦
명태조,明太祖
양촌,陽村
권근,權近
친제,親製
하사,下賜
태조고황제어제시삼수,太祖高皇帝御製詩三首
명태조,明太祖
명,命
응제시,應制詩
수,首
권람,權擥
주,註
세조,世祖
년,年
목판본,木版本
간행,刊行
권수,卷首
서,序
태조고황제어제시삼수,太祖高皇帝御製詩三首
제하,題下
제압록강,題鴨綠江
고려고경,高麗古京
율시,律詩
원암,圓庵禪師
응제시,應製詩
권람,權擥
지,誌
증주,增註
전세,傳世
선본,善本
동안거사,動安居士
책판,冊版
전본,傳本
영상시,詠史詩
동명왕편,東明王篇
하권,下卷
보판,補板
첩봉,疊峯
을유자,乙酉字
설두,雪竇
환오,圜俉
선,禪
장명원,張明遠
지소,智昭
선가,禪家
잔권,殘卷
수진본,袖珍本
구마라십,鳩摩羅什
역,譯
권수,卷首
신중상,神衆像
설법상,說法像
정구업진언,淨口業眞言
사보살상,四菩薩像
발원문,發願文
운하범,云何梵
지기,誌記
범자,梵字
불정심타라니,佛頂心陀羅尼
타라니,陀羅尼
여의인,如意印
부,符
인출기,印出記
구도자,求道者
사물,事物
공사상,空思想
설,說
호신,護身
독송용,讀誦用
판각,版刻
수진본,袖珍本
지기,誌記
각원,覺圓
비구,比丘
달현,達玄
영흥,永興
신사,信士
전대동,田大同
고연,古燕
본국,本國
홍회,洪淮
소자본,小字本
고려,高麗
충선왕,忠宣王
년,年
판각,板刻
인출기,印出記
충숙왕복위,忠肅王復位
년,年
진성군,晉城君
시주,施主
인출,印出
수진본,袖珍本
수지독송,受持讀誦
복장,腹藏
인출기,印出記
봉림사,鳳林寺
목조여래좌상,木造如來坐像
고려,高麗
공민왕,恭愍王
년,年
복장,腹藏
감지은니대방광불화엄경,紺紙銀泥大方廣佛華嚴經
권제사십팔,卷第四十八
주본,周本
화엄경,華嚴經
여래십신상해품,如來十身相海品
여래수호광명공덕품,如來髓好光明功德品
사성기,寫成記
잔권,殘卷
백지묵서묘법연화경,白紙墨書妙法蓮華經
권제이,卷第二
비유품,譬喩品
신해품,信解品
잔권,殘卷
사성기,寫成記
보물,寶物
광흥사,廣興寺
소장,所藏
품격,品格
고려말,高麗末
조선조,朝鮮朝
초기,初期
사성,寫成
추정,推定
백지묵서범망경,白紙墨書梵網經
사성기,寫成記
화주,化主
혜상,惠尙
묘원,妙圓
최신성,崔信誠
시주,施主
사경,寫經
화주,化主
시주자,施主者
생존시기,生存時期
과주,科注
합부,合部
과주,科注
명태조,明太祖
명,命
대보은사판,大報恩寺版
대장경,大藏經
초기,初期
소자,小字
무의자혜심,無衣子慧諶
보관,普觀
정혜쌍수,定慧雙修
수선사,修禪社
제,第
세국사,世國師
보관,普觀
교,敎
도인,道人
열가,悅可
권말,卷末
범자대장신주,梵字大藏神呪
혜귀,惠歸
시랑,侍郞
삼중대사,三重大師
문광,文光
소자,小字
범총지집일부,梵摠持集一部
소자,小字
불정심관세음보살대타라니경,佛頂心觀世音菩薩大陀羅尼經
권상,卷上
중,中
하,下
청하상국,淸河相國
수복,壽福
권신,權臣
최우,崔瑀
삼학사,三學士
문하시중,門下侍中
신인,信因
축법호,竺法護
초,草
기림사,祈林寺
공,空
현장,玄奘
불모품,佛母品
조,調
경,經
론,論
삼장,三藏
구마라습,鳩摩羅什
건팔,建八
기림사,祈林寺
진,晋
향여,向如
체원,體元
시주자,施主者
대비,大妃
대군,大君
견성사,見性寺
수륙제,水陸祭
징관,澄觀
정원,淨源
첩,帖
빈,嬪
학조,學祖
변상도,變相圖
가정,嘉靖
고본,皐本
포은,圃隱
상,像
상용형식,像容形式
구본,舊本
결봉,結縫
고양생,高陽生
희범,希范
결고,潔古
통진자,通眞子
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
안상,眼象
기단,基壇
탑신,塔身
안상,眼象
기단,基壇
탑신,塔身
기단부,基壇部
안상,眼象
탑신,塔身
인,人
포벽,包壁
대좌,臺座
광배,光背
세전,世田
명월지불,明月智佛
실차난타,實叉難陀
정원,淨源
정사,丁巳
남백사,南白寺
보현행원품,普賢行願品
징관,澄觀
환암,幻庵
혼수,混修
송본,宋本
실차난타,實叉難陀
정원,淨源
진언집,眞言集
교장도감,敎藏都監
국,鞠
후진,後秦
구마라집,鳩摩羅什
소경,紹瓊
만항,萬恒
혼구,混丘
공전,功田
입학도설,入學圖說
양촌,陽村
익산,益山
사서오경,四書五經
태극도설,太極圖說
도,圖
설,說
진주,晉州
천인심성합일지도,天人心性合一之圖
도설,圖說
대학,大學
입전,立傳
중용,中庸
분절,分節
변의,辨議
어맹대지,語孟大旨
권도,權蹈
박융,朴融
하연,河演
정척,鄭陟
정사겸,鄭思謙
십이월괘지도,十二月卦之圖
도,圖
괘륵과설지법,掛扐過揲之法
정,貞
변상도,變相圖
구마라습,鳩摩羅什
법칠사장,法七四丈
봉정사,鳳停寺
각지,角之
도인,道人
신운,信雲
계환,戒環
일여,一如
간경도감,刊經都監
선문념송집,禪門拈訟集
설두,雪竇
천동,天童
구암,龜庵
정안,正安
손창,孫昌
유립,有立
최이,崔怡
미타참법,彌陀懺法
변상도,變相圖
정,貞
후진,後秦
구마라습,鳩摩羅什
각수,刻手
종밀,宗密
선,禪
선사상,禪思想
최고,最古
호등,壺鐙
검신,劍身
통,筒
후진,後秦
구마라습,鳩摩羅什
변상도,變相圖
신장,神將
보능,寶能
토,吐
신민,信敏
신의,信義
교연,皎然
정,貞
변상도,變相圖
경,經
경,經
문신,文臣
성리대전,性理大典
금성목활자,錦城木活字
성리대전서절요,性理大全書節要
인출경위,印出經緯
절요자,節要者
중종,中宗
호남관찰사,湖南觀察使
명,命
부임,赴任
도사,都事
금성,錦城
나주목,羅州牧
목활자,木活字
결자,缺字
권두,卷頭
태극도총론,太極圖總論
권두제면,卷頭題面
변란,邊欄
사주단변,四周單邊
반엽,半葉
판심부,板心部
대흑구,大黑口
상하내향,上下內向
흑어미,黑魚尾
판심제,板心題
성리대전,性理大全
권장차,卷張次
신선로,神仙爐
종형,鐘形
장서인,藏書印
후서,後序
전책,全冊
충식,蟲蝕
장,張
황공소,黃公紹
태충,態忠
대선사,大禪師
진충귀,陳忠貴
진충귀,陳忠貴
현각선사,玄覺禪師
신미,信眉
계비,繼妃
학조,學祖
인경자,印經字
장막동,張莫同
최금동,崔今同
고말종,高末終
각수,刻手
서배,書背
미타참법,彌陀懺法
정희왕후,貞熹王后
간경도감,刊經都監
개판,改版
왕실판본,王室版本
예념미타도량참법,禮念彌陀道場懺法
보리심,菩提心
혜랑,慧朗
모본,母本
시주질,施主秩
숙의,淑儀
상궁,尙宮
월산대군,月山大君
제안대군,齊安大君
신미,信眉
학열,學悅
학조,學祖
간행질,刊行秩
삼세불,三世佛
화원,畵員
백종린,白終麟
이장손,李長孫
연뢰,蓮蕾
태지석,胎誌石
아지,阿只
종밀,宗密
호접장,胡蝶裝
진재해,秦再奚
팔,八
태산문,胎産文
간지,間紙
주불,主佛
발원문,發願文
팔,八
기단,基壇
탑신,塔身
안상,眼象
인왕상,仁王像
기단부,基壇部
안상,眼象
탑신,塔身
인왕상,仁王像
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
안상,眼象
기단,基壇
탑신,塔身
팔,八
행,行
진본,晋本
치씨,郗氏
정본,正本
음의,音義
원각회도,圓覺會圖
법화경,法華經
참경,懺經
지장경,地藏經
상교정본자비도량참법,詳校正本慈悲道場懺法
수한,守閑
신규,信珪
정서,正西
연허,衍虛
반자밀제,般刺密帝
계환,戒環
동궁,東宮
빈,嬪
변상도,變相圖
성녕대군,誠寧大君
인순부윤,仁順府尹
성억,成抑
서화,書畵
은대계회도,銀臺契會圖
한구소시,韓歐蘇詩
매촌동약,梅村洞約
신역,新譯
선재동자,善財童子
행,行
후진,後秦
구마라습,鳩摩羅什
장,丈
폭,幅
장,張
장,丈
경,敬
산거사요,山居四要
산촌,山村
경상도관찰출척사,慶尙道觀察黜陟使
조치,曺致
도사,都事
안질,安質
참의,參議
박분,朴賁
가장,家藏
선본,善本
좌씨전,左氏傳
청도지군사,淸道知郡事
주소,朱邵
청도,淸道
출간,出刊
제목록,諸目錄
전부,前部
결본,缺本
발문,跋文
간행,刊行
기록,記錄
편제,編制
명시,明示
발문,跋文
동방,東方
문교,文敎
경서,經書
사서,史書
좌씨전,左氏傳
춘추,春秋
연구,硏究
신해년,辛亥年
감사,監司
조치,曺致
도사,都事
안질,安質
선본,善本
중추,仲秋
중동,仲冬
고성,告成
판각,板刻
월,月
인쇄,印刷
선덕,宣德
개판,開板
발문,跋文
십일월,十一月
청도개판,淸道開板
간기,刊記
간행제원,刊行諸員
관명,官名
성명,姓名
행,行
교정,校正
도색,都色
색기관,色記官
각수,刻手
발문,跋文
좌씨전,左氏傳
출간,出刊
좌씨전,左氏傳
좌씨전,左氏傳
발문,跋文
간기,刊記
간행제원,刊行諸員
성명,姓名
서지학연구,書誌學硏究
경서,經書
좌씨전연구,左氏傳硏究
춘추경좌씨전구해,春秋經左氏傳句解
송,宋
춘추좌씨경전집해,春秋左氏經傳集解
모인,某人
모지,某地
직주,直注
구해,句解
직해식,直解式
경상도관찰출척사,慶尙道觀察黜陟使
조치,曺致
도사,都事
안질,安質
청도지군사,淸道知郡事
주소,朱邵
청도,淸道
출간,出刊
춘추경좌씨전구해,春秋經左氏傳句解
시성,詩聖
우집,虞集
주,註
서,序
발,跋
현장,玄奘
법장,法藏
한계희,韓繼禧
초간본,初刊本
사자좌,獅子座
전,田
은,三隱
목은영당본,牧隱影堂本
소본,小本
대본,大本
문헌서원본,文獻書院本
대전영당본,大田影堂本
은,三隱
문헌서원본,文獻書院本
은,三隱
은,三隱
대전영당본,大田影堂本
서문,序文
삼은,三隱
동활자,銅活字
원각경,圓覺經
종밀,宗密
소초,疏鈔
을유자,乙酉字
권하,卷下
불타다라,佛陀多羅
한역,漢譯
소,疏
간경도감,刊經都監
국역본,國譯本
저본,底本
경문,經文
구결,口訣
주자소,鑄字所
판식,版式
변란,邊欄
사주단변,四周單邊
반곽,半郭
계선,界線
반엽,半葉
행자수,行字數
주문,註文
쌍행,雙行
어미,魚尾
상하내향흑어미,上下內向黑魚尾
판심제,版心題
원각,圓覺
장정,裝訂
선장,線裝
주성,鑄成
유신,儒臣
전본,傳本
간경도감,刊經都監
서,序
온희,溫姬
선,禪
법집별행록절요병입사기,法集別行錄節要幷入私記
보조국사,普照國師
법집별행록,法集別行錄
절요,節要
사기,私記
선사상,禪思想
분,分
분,分
분,分
영경사,永慶寺
도과법사,道顆法師
지봉,志奉
지도,志道
각온,覺溫
불설사십이장경,佛說四十二章經
불유교경,佛遺敎經
위앙종,僞仰宗
초조,初祖
위산경책,潙山警策
서제,序題
지봉,志峯
지도,志道
각온,覺溫
중간,重刊
후인,後印
비구익대,比丘益大
덕이,德異
서문,序文
간경도감,刊經都監
계환,戒環
윤,閏
조선국왕지인,朝鮮國王之印
시명지보,施命之寶
요문청,姚文淸
수,水
곡,穀
채,菜
과,果
금,禽
수,獸
어,魚
미,味
류,類
각류,各類
신상,神像
유통식화포,有筒式火砲
천,天
지,地
현,玄
황,黃
의방,醫方
판식,板式
구급방서,救急方書
을해자본,乙亥字本
번각본,翻刻本
설월당,雪月堂
언해본,諺解本
의약서,醫藥書
한의학,漢醫學
구마라습,鳩摩羅什
포배장,包背裝
기단,基壇
탑신,塔身
탑지,塔誌
소탑,小塔
십,十
십,十
사경,寫經
반자밀제,般刺密帝
계환,戒環
위역림,危亦林
활유론,活幼論
초생,初生
설월헌인,雪月軒人
사천국,四天國
지국천왕,持國天王
다문천왕,多聞天王
증장천왕,增長天王
광목천왕,廣目天王
천의,天衣
사천국,四天國
지국천왕,持國天王
다문천왕,多聞天王
증장천왕,增長天王
광목천왕,廣目天王
산,山
보관,寶冠
광배,光背
광배,光背
배,舟
보관,寶冠
만,卍
명원,明遠
불,佛
후령통,喉鈴筒
기단,基壇
탑신,塔身
안상,眼象
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
연뢰,蓮蕾
대장순광,大匠順光
치란흥망,治亂興亡
차감,借鑑
경복궁,景福宮
사정전,思政殿
훈의,訓義
교감,校勘
윤회,尹淮
권도,權蹈
설순,偰循
김말,金末
초주갑인자,初鑄甲寅字
경외,京外
배포,配布
명신,名臣
자치통감사정전훈의,資治通鑑思政殿訓義
세종조,世宗朝
주자소,鑄字所
초주갑인자,初鑄甲寅字
전본,傳本
송,宋
윤회,尹淮
권도,權蹈
김말,金末
유의손,柳義孫
통감음주,通鑑音注
통감원위,通鑑源委
통감집람,通鑑輯覽
통감석의,通鑑釋義
사정전,思政殿
자치통감사정전훈의,資治通鑑思政殿訓義
자치통감,資治通鑑
치란흥망,治亂興亡
차감,借鑑
최고,最高
자치통감,資治通鑑
인출,印出
사정전,思政殿
사정전훈의,思政殿訓義
자치통감,資治通鑑
주자소,鑄字所
거질,巨帙
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
타루,墮淚
양호,羊祜
발,跋
단묘,壇廟
팔,八
기단,基壇
탑신,塔身
수선,修繕
기단,基檀
탑신,塔身
산수,山水
공민왕,恭愍王
비구니,比丘尼
묘지,妙智
묘수,妙殊
시주,施主
사성,寫成
권수,卷首
경변상,經變相
관음보살상,觀音菩薩像
권말,卷末
일지,洪武四年辛亥七月日誌
비구니묘지,施主比丘尼妙智
묘수,同願比丘尼妙殊
피휘결획,避諱缺劃
안진경체,顔眞卿體
호종,扈從
영양군,瀛陽君
위성공신,衛聖功臣
상훈교서,賞勳敎書
공적사례,功績事例
분조,分朝
진충,盡忠
상전,賞典
상사,賞賜
도형,圖形
초일계작,超一階爵
적장,嫡長
세습,世襲
사유,赦宥
구사,丘史
은자,銀子
표리,表裏
내구마,內廐馬
상사,賞賜
서맹,誓盟
황하,黃河
맹약,盟約
최흥원,崔興源
시명지보,施命之寶
새보,璽寶
오사모,烏紗帽
단령,團領
공수,拱手
전신교의좌상,全身交椅坐像
좌안칠분면,左顔七分面
취각,取角
채전,彩氈
족좌대,足座臺
혜,鞋
진무공신,振武功臣
창의,氅衣
선무,宣武
호종,扈從
정난,靖難
법령,法令
협,頰
이문,耳紋
선염기,渲染氣
고식,古式
양촌,陽村
권근,權近
발문,跋文
대선,大選
신희,信希
기로,耆老
중자,中字
성달,成達生
성개,成槪
상중,喪中
선군,先君
추복,追福
필사,筆寫
도인,道人
신문,信文
전라도,全羅道
운제현,雲梯縣
도솔산,兜率山
안심사,安心社
간행,刊行
권수,卷首
정씨,鄭氏
고려,高麗
우왕,禑王
송,宋
급남,及南
화상,和尙
본문,本文
묵서,墨書
구결,口訣
두주,頭註
권근,權近
발문,跋文
토산군,兎山郡
부인,夫人
김씨,金氏
처,妻
원씨,元氏
시주자,施主者
후쇄본,後刷本
서발,序跋
변상도,變相圖
명필,名筆
성달생,成達生
성개,成槪
정서,精書
판본,板本
안심사,安心寺
신문,信文
변상도,變相圖
신중상,神衆像
구결,口訣
두주,頭註
현토,懸吐
신문,信文
안심사,安心寺
변상도,變相圖
호성공신,扈聖功臣
몽진,蒙塵
계,階
군호,君號
노비,奴婢
구사,丘史
전,田
은자,銀子
표리,表裏
내구마,內廐馬
만력삼십이년십월,萬曆三十二年十月
시명지보,施命之寶
어보,御寶
철암산,鐵岩山
음각,陰刻
명문,銘文
팔,八
비구,比丘
여의,如意
범자,梵字
범자,梵字
진성,鎭星
세성,歲星
형혹,熒惑
태백,太白
진성,辰星
남만,南蠻
인력자,印曆字
박면타,朴免妥
한중례,韓仲禮
도청,都廳
일본고,日本考
지지,地志
토속,土俗
구술,寇術
검제,劍制
일본고,日本考
