id,title
340,청자 ‘순화4년’명 항아리
341,부여 왕흥사지 출토 사리기
342,예천 용문사 대장전과 윤장대
343,공주 충청감영 측우기
344,대구 경상감영 측우대
345,창덕궁 이문원 측우대
346,정선 정암사 수마노탑
347,합천 해인사 건칠희랑대사좌상
348,기사계첩 및 함
349,이십공신회맹축-보사공신녹훈후
350,구례 화엄사 목조비로자나삼신불좌상
351,청양 장곡사 금동약사여래좌상 및 복장
352,합천 해인사 법보전 목조비로자나불좌상
353,합천 해인사 대적광전 목조비로자나불좌
354,익산 미륵사지 서탑 출토 사리장엄구
355,이순신 장검
356,부안 내소사 동종
357,삼척 죽서루
358,밀양 영남루
359,순천 송광사 영산회상도 및 팔상도
360,합천 해인사 영산회상도
361,김천 직지사 석가여래삼불회도
362,공주 마곡사 오층석탑
363,곡성 태안사 적인선사탑
364,부여 무량사 미륵불 괘불도
365,영천 청제비
366,서산 보원사지 오층석탑
367,예천 개심사지 오층석탑
368,서울 흥인지문
369,옛 보신각 동종
370,서울 원각사지 대원각사비
371,안양 중초사지 당간지주
372,여주 고달사지 원종대사탑비
373,여주 고달사지 원종대사탑
374,여주 고달사지 석조대좌
375,용인 서봉사지 현오국사탑비
376,강화 장정리 오층석탑
377,사인비구 제작 동종 - 포항 보경사 
378,사인비구 제작 동종 - 문경 김룡사 
379,사인비구 제작 동종 - 홍천 수타사 
380,사인비구 제작 동종 - 안성 청룡사 
381,사인비구 제작 동종 - 서울 화계사 
382,사인비구 제작 동종 - 통도사 동종
383,사인비구 제작 동종 - 의왕 청계사 
384,사인비구 제작 동종 - 강화 동종
385,하남 동사지 오층석탑
386,하남 동사지 삼층석탑
387,수원 창성사지 진각국사탑비
388,보은 법주사 사천왕 석등
389,충주 억정사지 대지국사탑비
390,충주 정토사지 법경대사탑비
391,청양 서정리 구층석탑
392,보령 성주사지 오층석탑
393,보령 성주사지 중앙 삼층석탑
394,부여 당 유인원 기공비
395,김제 금산사 노주
396,김제 금산사 석련대
397,김제 금산사 혜덕왕사탑비
398,김제 금산사 오층석탑
399,김제 금산사 금강계단
400,김제 금산사 육각 다층석탑
401,김제 금산사 당간지주
402,김제 금산사 심원암 삼층석탑
403,남원 만복사지 오층석탑
404,남원 만복사지 석조대좌
405,남원 만복사지 당간지주
406,남원 실상사 수철화상탑
407,남원 실상사 수철화상탑비
408,남원 실상사 석등
409,남원 실상사 승탑
410,남원 실상사 동·서 삼층석탑
411,남원 실상사 증각대사탑
412,남원 실상사 증각대사탑비
413,남원 실상사 백장암 석등
414,남원 실상사 철조여래좌상
415,남원 용담사지 석조여래입상
416,남원 만복사지 석조여래입상
417,익산 연동리 석조여래좌상
418,익산 고도리 석조여래입상
419,보령 성주사지 서 삼층석탑
420,나주 동점문 밖 석당간
421,나주 북망문 밖 삼층석탑
422,문경 내화리 삼층석탑
423,봉화 서동리 동·서 삼층석탑
424,고령 지산리 당간지주
425,안동 운흥동 오층전탑
426,안동 조탑리 오층전탑
427,안동 안기동 석조여래좌상
428,영주 숙수사지 당간지주
429,영주 영주동 석조여래입상
430,경주 불국사 사리탑
431,경주 서악동 마애여래삼존입상
432,경주 배동 석조여래삼존입상
433,경주 보문사지 석조
434,경주 서악동 삼층석탑
435,경주 석빙고
436,경주 효현동 삼층석탑
437,경주 황남동 효자 손시양 정려비
438,경주 망덕사지 당간지주
439,경주 서악동 귀부
440,함안 대산리 석조삼존상
441,산청 단속사지 동 삼층석탑
442,산청 단속사지 서 삼층석탑
443,양산 통도사 국장생 석표
444,창녕 송현동 마애여래좌상
445,춘천 근화동 당간지주
446,춘천 칠층석탑
447,원주 거돈사지 원공국사탑비
448,홍천 희망리 삼층석탑
449,홍천 희망리 당간지주
450,강릉 한송사지 석조보살좌상
451,강릉 대창리 당간지주
452,강릉 수문리 당간지주
453,강릉 신복사지 석조보살좌상
454,강릉 굴산사지 승탑
455,강릉 굴산사지 당간지주
456,강릉 신복사지 삼층석탑
457,탑산사명 동종
458,영암 도갑사 석조여래좌상
459,대반열반경소 권9~10
460,여주 창리 삼층석탑
461,여주 하리 삼층석탑
462,파주 용미리 마애이불입상
463,제천 사자빈신사지 사사자 구층석탑
464,충주 미륵리 오층석탑
465,충주 미륵리 석조여래입상
466,괴산 원풍리 마애이불병좌상
467,충주 철조여래좌상
468,천안 천흥사지 당간지주
469,당진 안국사지 석조여래삼존입상
470,당진 안국사지 석탑
471,서산 보원사지 석조
472,서산 보원사지 당간지주
473,서산 보원사지 법인국사탑
474,서산 보원사지 법인국사탑비
475,부여 보광사지 대보광선사비
476,부여 정림사지 석조여래좌상
477,(전)광주 성거사지 오층석탑
478,광주 지산동 오층석탑
479,담양 개선사지 석등
480,광양 중흥산성 삼층석탑
481,청도 봉기리 삼층석탑
482,안동 평화동 삼층석탑
483,안동 이천동 마애여래입상
484,영주 석교리 석조여래입상
485,상주 화달리 삼층석탑
486,상주 증촌리 석조여래입상
487,상주 복용동 석조여래좌상
488,상주 증촌리 석조여래좌상
489,경주 굴불사지 석조사면불상
490,경주 율동 마애여래삼존입상
491,경주 보문사지 당간지주
492,경주 남산동 동·서 삼층석탑
493,경주 무장사지 아미타불 조상 사적비
494,경주 무장사지 삼층석탑
495,경주 삼랑사지 당간지주
496,합천 반야사지 원경왕사비
497,합천 월광사지 동·서 삼층석탑
498,광주 증심사 철조비로자나불좌상
499,구례 화엄사 동 오층석탑
500,구례 화엄사 서 오층석탑
501,순천 송광사 경질
502,대구 산격동 연화 운룡장식 승탑
503,경주 남산 미륵곡 석조여래좌상
504,문경 봉암사 지증대사탑
505,서울 문묘 및 성균관<대성전·동무·서
506,서울 동관왕묘
507,서산 개심사 대웅전
